WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Axim,GH,4.8699,-2.2405,76.96,89,92,5.57,light rain
1,Saint Anthony,US,45.0205,-93.218,46.78,88,1,0.0,clear sky
2,Rikitea,PF,-23.1203,-134.9692,75.24,82,99,16.11,light rain
3,Karema,TZ,-6.8205,30.4389,74.23,71,70,4.59,light rain
4,Waverley,ZA,-25.7023,28.2591,64.53,78,0,4.27,clear sky
5,Oga,IT,46.4631,10.347,30.69,48,24,6.26,few clouds
6,Coquimbo,CL,-29.9533,-71.3436,55.13,94,90,3.44,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,59.9,86,68,1.95,broken clouds
8,Mataura,NZ,-46.1927,168.8643,74.32,39,78,4.18,broken clouds
9,Airai,TL,-8.9266,125.4092,81.18,38,99,2.15,overcast clouds
10,Kapaa,US,22.0752,-159.319,75.18,92,24,5.75,light rain
11,Kloulklubed,PW,7.0419,134.2556,85.1,76,100,15.93,overcast clouds
12,Bronnoysund,NO,65.4625,12.1997,53.6,66,20,14.97,few clouds
13,Bukama,CD,-9.2,25.85,68.7,93,12,2.82,light rain
14,Ushuaia,AR,-54.8,-68.3,40.66,70,20,20.71,few clouds
15,Balkanabat,TM,39.5108,54.3671,56.46,44,100,1.61,overcast clouds
16,Lebu,CL,-37.6167,-73.65,52.93,90,90,20.24,overcast clouds
17,Jimo,CN,36.3897,120.4622,65.98,55,2,2.24,haze
18,Salalah,OM,17.0151,54.0924,79.81,61,14,2.13,few clouds
19,Bulungu,CD,-4.55,18.6,66.15,98,96,0.45,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,75,19.57,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,8.05,clear sky
22,Keffi,NG,8.8486,7.8736,71.69,68,84,2.71,broken clouds
23,Hilo,US,19.7297,-155.09,78.53,75,40,5.75,scattered clouds
24,Inuvik,CA,68.3499,-133.7218,25.66,93,90,1.14,overcast clouds
25,Butaritari,KI,3.0707,172.7902,82.92,70,5,15.77,clear sky
26,Westport,US,41.1415,-73.3579,55.74,92,100,15.01,light rain
27,Saldanha,ZA,-33.0117,17.9442,55.45,90,0,8.77,clear sky
28,New Norfolk,AU,-42.7826,147.0587,58.91,45,57,5.01,broken clouds
29,Georgetown,MY,5.4112,100.3354,88.9,78,40,8.99,scattered clouds
30,Grand Gaube,MU,-20.0064,57.6608,74.37,91,58,5.7,broken clouds
31,Hobart,AU,-42.8794,147.3294,59.25,46,40,4.0,scattered clouds
32,Boyolangu,ID,-8.1181,111.8935,84.69,69,100,8.1,overcast clouds
33,Atuona,PF,-9.8,-139.0333,78.06,67,5,11.03,clear sky
34,Provideniya,RU,64.3833,-173.3,11.57,69,82,4.07,broken clouds
35,Batagay,RU,67.6333,134.6333,11.61,96,98,2.77,overcast clouds
36,North Bend,US,43.4065,-124.2243,53.51,93,40,9.22,scattered clouds
37,Victoria,HK,22.2855,114.1577,80.26,82,98,5.01,overcast clouds
38,Lokosovo,RU,61.1333,74.8167,18.12,86,99,17.72,overcast clouds
39,Yongan,CN,39.6957,113.6871,50.9,31,22,8.77,few clouds
40,Mar Del Plata,AR,-38.0023,-57.5575,61.88,98,20,18.99,few clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,69.94,89,77,8.81,broken clouds
42,Tautira,PF,-17.7333,-149.15,80.62,77,64,14.81,light rain
43,Nhulunbuy,AU,-12.2333,136.7667,90.21,55,20,12.66,few clouds
44,Brae,GB,60.3964,-1.353,49.91,85,99,19.69,overcast clouds
45,East London,ZA,-33.0153,27.9116,58.14,88,20,8.05,few clouds
46,Busselton,AU,-33.65,115.3333,71.04,51,6,6.85,clear sky
47,Naraina,IN,26.7833,75.2,71.74,24,0,4.76,clear sky
48,Rocha,UY,-34.4833,-54.3333,61.45,97,26,10.58,scattered clouds
49,Dokri,PK,27.3743,68.0967,84.69,16,0,2.48,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,96,4.61,overcast clouds
51,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,84,22.35,broken clouds
52,Cidreira,BR,-30.1811,-50.2056,68.13,89,100,22.35,overcast clouds
53,Henties Bay,NA,-22.116,14.2845,55.85,89,0,3.53,clear sky
54,Vaini,TO,-21.2,-175.2,73.56,94,90,6.91,light rain
55,Alta Floresta,BR,-9.8756,-56.0861,72.73,83,51,3.42,broken clouds
56,Havelock,US,34.8791,-76.9013,67.95,66,34,10.78,scattered clouds
57,Lagoa,PT,39.05,-27.9833,68.41,89,81,22.21,broken clouds
58,Karsava,LV,56.7841,27.6883,44.65,94,76,8.03,broken clouds
59,Shetpe,KZ,44.1667,52.1167,45.45,82,93,1.12,overcast clouds
60,Bengkulu,ID,-3.8004,102.2655,85.91,67,93,5.88,overcast clouds
61,Yellowknife,CA,62.456,-114.3525,31.41,94,90,11.5,light snow
62,Port Alfred,ZA,-33.5906,26.891,62.98,79,49,17.54,scattered clouds
63,Adrar,MR,20.5022,-10.0711,75.02,22,100,10.83,overcast clouds
64,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,81,0,7.0,clear sky
65,Luderitz,NA,-26.6481,15.1594,58.26,77,0,7.58,clear sky
66,Ligayan,PH,4.6533,119.4706,83.28,73,100,3.24,overcast clouds
67,Barrow,US,71.2906,-156.7887,6.4,90,57,8.68,broken clouds
68,Cape Town,ZA,-33.9258,18.4232,62.11,77,75,1.99,broken clouds
69,Ambanja,MG,-13.6833,48.45,67.93,68,58,2.62,broken clouds
70,San Joaquin,US,37.9333,-121.3011,66.36,83,1,0.0,mist
71,Korla,CN,41.7597,86.1469,54.75,29,100,5.32,overcast clouds
72,Caibarien,CU,22.5206,-79.4669,77.2,86,98,9.62,overcast clouds
73,Rio Gallegos,AR,-51.6226,-69.2181,35.65,64,0,9.22,clear sky
74,Hamilton,US,39.1834,-84.5333,57.36,97,90,8.05,light rain
75,Husavik,IS,66.0449,-17.3389,33.71,88,60,4.41,broken clouds
76,Hirara,JP,24.8,125.2833,80.46,65,40,8.05,scattered clouds
77,Salinopolis,BR,-0.6136,-47.3561,77.68,85,51,8.75,broken clouds
78,Poso,ID,-1.3959,120.7524,86.5,66,35,5.86,scattered clouds
79,Sumbe,AO,-11.2061,13.8437,74.71,86,98,3.22,light rain
80,Yulara,AU,-25.2406,130.9889,64.24,48,90,17.27,light rain
81,Wucheng,CN,29.6008,118.175,72.41,52,2,3.18,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,79.52,68,0,3.0,clear sky
83,Tiksi,RU,71.6872,128.8694,-2.47,98,97,7.56,overcast clouds
84,Hervey Bay,AU,-25.2986,152.8535,86.11,80,58,18.68,broken clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,88,100,14.65,overcast clouds
86,Dikson,RU,73.5069,80.5464,7.43,89,100,15.79,overcast clouds
87,Talcahuano,CL,-36.7167,-73.1167,56.88,72,0,5.75,clear sky
88,Ilebo,CD,-4.3167,20.5833,69.31,92,99,0.74,overcast clouds
89,Bluff,NZ,-46.6,168.3333,62.94,68,95,5.06,overcast clouds
90,Hun,LY,29.1268,15.9477,64.47,40,1,4.0,clear sky
91,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,100,90,4.61,light snow
92,Suzun,RU,53.7841,82.3116,34.84,95,100,10.85,light rain
93,Vaitape,PF,-16.5167,-151.75,78.85,73,19,16.4,few clouds
94,Northam,GB,51.0333,-4.2167,52.3,95,100,12.93,moderate rain
95,Kirtipur,NP,27.6667,85.2833,66.13,63,20,0.0,mist
96,Ortakoy,TR,38.7373,34.0387,30.45,91,1,4.03,clear sky
97,Faanui,PF,-16.4833,-151.75,78.91,72,22,16.37,few clouds
98,Kodiak,US,57.79,-152.4072,46.27,95,100,27.49,moderate rain
99,Jamestown,US,42.097,-79.2353,48.29,96,90,3.0,overcast clouds
100,Waharoa,NZ,-37.7667,175.7667,68.32,88,93,12.59,light rain
101,Severo-Kurilsk,RU,50.6789,156.125,41.67,82,55,19.51,broken clouds
102,Ilulissat,GL,69.2167,-51.1,22.19,93,100,6.24,overcast clouds
103,Tete,MZ,-16.1564,33.5867,69.13,56,22,3.4,few clouds
104,Bethel,US,41.3712,-73.414,52.05,90,98,4.0,moderate rain
105,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,3.44,light rain
106,Bay Saint Louis,US,30.3088,-89.33,58.01,81,69,10.18,broken clouds
107,Bonthe,SL,7.5264,-12.505,75.6,91,100,5.08,moderate rain
108,Dwarka,IN,22.2394,68.9678,82.8,44,39,9.06,scattered clouds
109,Caravelas,BR,-17.7125,-39.2481,71.69,90,40,3.83,scattered clouds
110,Batagay-Alyta,RU,67.8006,130.4114,-2.4,86,43,4.05,scattered clouds
111,Jarvenpaa,FI,60.4737,25.0899,48.69,82,90,10.36,overcast clouds
112,Torbay,CA,47.6666,-52.7314,40.57,95,90,14.97,light intensity drizzle
113,Parintins,BR,-2.6283,-56.7358,76.78,74,7,2.28,clear sky
114,Kizilskoye,RU,52.7255,58.8937,34.2,76,100,8.68,overcast clouds
115,Padang,ID,-0.9492,100.3543,86.05,74,78,4.05,broken clouds
116,Sasovo,RU,54.3537,41.9199,43.81,93,55,10.8,broken clouds
117,Mantua,IT,45.1667,10.7833,47.82,93,38,5.19,scattered clouds
118,Eldorado,BR,-23.7869,-54.2836,72.09,91,77,5.14,broken clouds
119,Constitucion,CL,-35.3333,-72.4167,58.28,62,99,9.44,overcast clouds
120,Kavaratti,IN,10.5669,72.642,81.79,73,88,3.58,moderate rain
121,Saint-Philippe,RE,-21.3585,55.7679,76.59,76,47,6.58,scattered clouds
122,Jizan,SA,17.3333,42.6667,79.74,39,0,5.28,clear sky
123,Mailsi,PK,29.8003,72.1758,81.66,20,1,4.85,clear sky
124,San Cristobal,VE,7.7669,-72.225,68.18,97,100,1.79,overcast clouds
125,Komsomolskiy,UZ,40.4272,71.7189,47.62,70,0,2.3,clear sky
126,Baykit,RU,61.67,96.37,31.15,93,100,7.14,light snow
127,Touros,BR,-5.1989,-35.4608,77.9,79,26,12.19,scattered clouds
128,Fairbanks,US,64.8378,-147.7164,21.16,88,75,0.0,light snow
129,Kamareddi,IN,18.3167,78.35,76.08,62,78,10.51,broken clouds
130,Malakal,SS,9.5334,31.6605,74.98,70,27,2.08,scattered clouds
131,Vestmanna,FO,62.1564,-7.1664,41.92,100,75,1.14,broken clouds
132,Half Moon Bay,US,37.4636,-122.4286,65.89,86,90,1.99,fog
133,Carnarvon,AU,-24.8667,113.6333,75.27,53,0,19.57,clear sky
134,Chinsali,ZM,-10.5414,32.0816,64.94,59,8,2.39,clear sky
135,Birao,CF,10.2849,22.7882,70.61,35,6,2.53,clear sky
136,Dali,CN,25.7,100.1833,68.07,52,2,3.94,clear sky
137,Wenatchee,US,47.4235,-120.3103,48.43,54,1,1.01,clear sky
138,Qaanaaq,GL,77.484,-69.3632,10.26,63,96,9.33,overcast clouds
139,Povenets,RU,62.8487,34.8262,45.81,92,89,7.9,overcast clouds
140,Avarua,CK,-21.2078,-159.775,75.25,64,90,10.36,overcast clouds
141,Pevek,RU,69.7008,170.3133,0.66,92,100,4.09,overcast clouds
142,Nanortalik,GL,60.1432,-45.2371,35.02,82,94,7.65,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,83.95,71,100,15.7,overcast clouds
144,Gorontalo,ID,0.5412,123.0595,85.93,74,81,2.86,broken clouds
145,Acari,PE,-15.4311,-74.6158,69.69,70,94,1.86,overcast clouds
146,Quelimane,MZ,-17.8786,36.8883,68.81,71,1,1.79,clear sky
147,Trinidad,BO,-14.8333,-64.9,77.22,75,19,3.36,few clouds
148,Fortuna,US,40.5982,-124.1573,59.47,74,90,0.0,overcast clouds
149,Abu Kamal,SY,34.4506,40.9171,67.59,46,100,7.11,overcast clouds
150,Kirakira,SB,-10.4544,161.9205,86.14,70,35,13.58,scattered clouds
151,Birjand,IR,32.8663,59.2211,45.07,36,0,6.91,clear sky
152,Coihaique,CL,-45.5752,-72.0662,37.35,70,0,3.44,clear sky
153,Sitka,US,57.0531,-135.33,42.69,75,90,5.75,light rain
154,Glenwood Springs,US,39.5505,-107.3248,47.43,69,1,1.01,clear sky
155,Ribeira Grande,PT,38.5167,-28.7,70.23,90,89,15.95,overcast clouds
156,Wenling,CN,28.3669,121.36,77.92,63,16,5.03,few clouds
157,Beringovskiy,RU,63.05,179.3167,18.48,94,100,7.47,light snow
158,Zlotow,PL,53.3635,17.0408,36.84,66,7,7.29,clear sky
159,Norman Wells,CA,65.282,-126.8329,24.84,93,75,2.3,light snow
160,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,11.5,broken clouds
161,Ulladulla,AU,-35.35,150.4667,68.77,44,32,9.55,scattered clouds
162,Shimoda,JP,34.6667,138.95,66.56,54,33,4.18,scattered clouds
163,Zorgo,BF,12.2489,-0.6158,81.95,46,80,5.21,broken clouds
164,Albany,US,42.6001,-73.9662,47.08,79,80,5.01,moderate rain
165,Cayenne,GF,4.9333,-52.3333,82.09,80,20,4.0,few clouds
166,Baruun-Urt,MN,46.6806,113.2792,31.82,38,100,12.55,overcast clouds
167,Nome,US,64.5011,-165.4064,13.15,85,91,6.22,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,78.22,75,99,8.14,overcast clouds
169,Narsaq,GL,60.9167,-46.05,25.11,80,68,4.38,broken clouds
170,Leningradskiy,RU,69.3833,178.4167,-12.1,94,21,5.01,few clouds
171,Kaitangata,NZ,-46.2817,169.8464,68.22,54,38,13.98,scattered clouds
172,Shelburne,CA,44.0787,-80.2041,45.82,94,100,12.01,overcast clouds
173,Angoche,MZ,-16.2325,39.9086,73.0,66,1,6.29,clear sky
174,Bay Roberts,CA,47.5999,-53.2648,41.32,91,98,11.01,overcast clouds
175,Grindavik,IS,63.8424,-22.4338,44.55,87,75,10.36,broken clouds
176,Manicore,BR,-5.8092,-61.3003,75.78,82,40,1.63,scattered clouds
177,Saint-Joseph,RE,-21.3667,55.6167,75.58,76,45,7.2,scattered clouds
178,Karaton,ID,-6.3424,106.1045,87.96,60,93,2.46,overcast clouds
179,Guilin,CN,25.2819,110.2864,68.11,77,98,2.28,overcast clouds
180,Boralday,KZ,43.3578,76.8594,48.06,76,40,2.24,scattered clouds
181,Micheweni,TZ,-4.9667,39.8333,79.68,73,96,5.1,overcast clouds
182,Tyrma,RU,50.0833,132.1667,43.9,62,100,5.7,overcast clouds
183,Solnechnyy,RU,50.7214,136.6319,43.03,64,100,1.68,overcast clouds
184,Castro,BR,-24.7911,-50.0119,57.52,95,98,9.62,overcast clouds
185,Ahipara,NZ,-35.1667,173.1667,60.55,95,100,14.07,moderate rain
186,Muskogee,US,35.5834,-95.3336,50.45,93,5,6.22,clear sky
187,Placido De Castro,BR,-10.3353,-67.1856,77.92,67,46,2.59,scattered clouds
188,Atar,MR,20.5169,-13.0499,77.45,38,78,6.29,broken clouds
189,Killarney,IE,52.05,-9.5167,42.87,92,8,4.5,clear sky
190,Clyde River,CA,70.4692,-68.5914,26.65,97,100,2.95,light snow
191,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,40,13.87,scattered clouds
192,Aloleng,PH,16.1307,119.7824,86.4,56,93,3.94,overcast clouds
193,Katherine,AU,-14.4667,132.2667,95.32,43,75,8.05,broken clouds
194,Suez,EG,29.9737,32.5263,70.61,79,100,7.61,overcast clouds
195,Umm Lajj,SA,25.0213,37.2685,81.43,43,8,10.07,clear sky
196,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,53,0,4.47,clear sky
197,Cherskiy,RU,68.75,161.3,-11.99,97,100,0.65,overcast clouds
198,Buala,SB,-8.145,159.5921,85.73,71,66,10.54,light rain
199,Gari,RU,59.4307,62.3497,22.78,93,100,11.07,light snow
200,Tura,IN,25.5198,90.2201,78.31,54,13,3.91,few clouds
201,Sur,OM,22.5667,59.5289,81.79,42,16,3.62,few clouds
202,Port Lincoln,AU,-34.7333,135.8667,59.52,51,35,8.28,scattered clouds
203,Ostrovnoy,RU,68.0531,39.5131,31.5,88,85,15.14,overcast clouds
204,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,9.22,few clouds
205,Tuatapere,NZ,-46.1333,167.6833,63.28,76,100,8.93,overcast clouds
206,Marystown,CA,47.1666,-55.1483,42.85,100,97,3.0,overcast clouds
207,Pombia,IT,45.653,8.6336,52.45,90,75,5.75,mist
208,Encheng,CN,22.1839,112.3026,78.96,63,94,8.7,overcast clouds
209,Belaya Gora,RU,68.5333,146.4167,4.62,93,100,6.96,overcast clouds
210,Balabac,PH,7.9868,117.0645,85.44,72,98,9.73,overcast clouds
211,Chabahar,IR,25.2919,60.643,81.21,48,0,4.79,clear sky
212,Taylors,US,34.9204,-82.2962,52.66,94,90,1.99,overcast clouds
213,Christchurch,NZ,-43.5333,172.6333,63.95,74,20,8.99,few clouds
214,Chokurdakh,RU,70.6333,147.9167,-14.91,100,98,2.82,overcast clouds
215,Isangel,VU,-19.55,169.2667,84.31,74,75,0.0,broken clouds
216,Navolato,MX,24.7672,-107.6944,76.64,79,0,1.86,clear sky
217,Shubarshi,KZ,48.5872,57.1869,43.25,79,100,3.87,overcast clouds
218,Tongren,CN,27.7172,109.1853,68.47,58,18,2.1,few clouds
219,Burnie,AU,-41.0667,145.9167,60.93,49,71,12.62,broken clouds
220,Yerbogachen,RU,61.2767,108.0108,25.92,92,100,9.55,light snow
221,Waipawa,NZ,-41.4122,175.5153,60.46,57,19,14.16,few clouds
222,Qostanay,KZ,53.1667,63.5833,21.49,86,40,2.24,scattered clouds
223,Qui Nhon,VN,13.7667,109.2333,81.23,82,52,9.64,broken clouds
224,Iqaluit,CA,63.7506,-68.5145,38.93,74,90,11.99,overcast clouds
225,Santander De Quilichao,CO,3.0095,-76.4849,68.61,97,98,2.64,overcast clouds
226,Kichmengskiy Gorodok,RU,59.9816,45.7854,43.83,92,100,11.14,overcast clouds
227,Dunda,TZ,-8.1167,34.25,67.51,70,73,0.83,broken clouds
228,Mahebourg,MU,-20.4081,57.7,73.26,94,75,3.44,light rain
229,Nikolskoye,RU,59.7035,30.7861,49.01,93,63,8.32,broken clouds
